id_pertanyaan,teks_pertanyaan
1,Pendonor memahami makna hasil uji saring IMLTD yang telah dilakukan UTD
2,Pendonor memahami pentingnya uji diagnostik yang akan dilakukan oleh RS
3,Pendonor bersedia dirujuk ke RS untuk uji diagnostik dan penanganan lebih lanjut
4,Pendonor memahami dan akan menerima status penyumbangan darah berikutnya yang akan ditetapkan oleh UTD sesuai dengan hasil uji diagnostik dari RS
5,"Pendonor memahami bahwa semua informasi yang diberikan oleh pendonor, UTD dan RS akan dijaga kerahasiaannya oleh UTD"
