id_alat,nama_alat
1,Target Controlled Infusion (TCI)
2,Glidescope
3,Stimulator Saraf
4,Cardiopulmonary Bypass (CPB)
5,USG
6,Ventilator
7,Bronkoskopi
8,Hipotensi Terkontrol
9,Lain-lain
