id_macam_kasus,kode_macam_kasus,nama_macam_kasus
1,001,Trauma Kecelakaan Lalu Lintas
2,002,Trauma Kecelakaan Kerja
3,003,Trauma Kasus Unit Pelayanan Anak & Perempuan
4,004,Non Trauma
