id_pemeriksaan,kode_pemeriksaan,nama_pemeriksaan
1,001,JALAN NAFAS
2,002,PERNAFASAN DEWASA
3,003,PERNAFASAN ANAK
4,004,SIRKULASI DEWASA
5,005,SIRKULASI ANAK
6,006,MENTAL STATUS
7,007,SKOR NYERI
8,008,ASSESMENT TRIASE
