id_kategori,kode_kategori_barang,nama_kategori_barang
1,J06,ATK
2,J02,GIZI BASAH
3,J03,GIZI KERING
4,J01,IPSRS
5,J07,KAMAR JENAZAH
6,J04,LOUNDRY
7,J05,RADIOLOGY
