id_monitoring,nama_monitoring
1,EtCO2
2,Stetoskop
3,Cath A Pulmo
4,NGT
5,SpO2
6,NIBP
7,Kateter Urine
8,BIS
9,CVP
10,Arteri Line
11,Temp
12,EKG Lead
13,Lain-lain
