id_kategori,kode_kategori_barang,nama_kategori_barang
1,OBT,Obat-obatan
2,ALK,Alat Kesehatan
3,BHP,Bahan Habis Pakai
4,LAB,Reagen Laboratorium
5,GIG,Perlengkapan Gigi
