id_indikasi,nama_indikasi
1,Kondisi Pasien Stabil
2,Kondisi Pasien Tidak Ada Perubahan
3,Kondisi Pasien Memburuk
4,Fasilitas Kurang Memadai
5,Fasilitas Butuh Lebih Baik
6,Tenaga Membutuhkan Yang Lebih Ahli
7,Tenaga Kurang
8,Lain-lain
