id_respirasi,nama_skala,nilai
1,Apnea Atau Napas Tidak Adekuat,0
2,Sesak Atau Pernapasan Sedikit Terbatas,1
3,Sanggup Bernafas Dalam Serta Disuruh Batuk,2
