id_unit,nama_unit
1,IGD
2,Poli Umum
3,Poli Spesialis
4,Rawat Inap
5,ICU
6,Kamar Operasi
7,Farmasi
8,Laboratorium
9,Radiologi
10,Gizi
11,Administrasi
12,CSSD
