id_komponen,kode_komponen,nama_komponen,masa_berlaku_hari
1,WB,Whole Blood,28
2,PRC,Packed Red Cells,28
3,PRP,Platelet-Rich Plasma,5
4,FFP,Fresh Frozen Plasma,365
5,TC,Thrombocyte Concentrate,5
6,AHF,Cryoprecipitate,365
