id_hubungan_keluarga,nama_hubungan
1,Kakak
2,Adik
3,Saudara
4,Keluarga
5,Kakek
6,Nenek
7,Orang Tua
8,Suami
9,Istri
10,Penanggung Jawab
11,Menantu
12,Ipar
13,Mertua
14,-
