id_aktivitas,nama_skala,nilai
1,Tidak Sanggup Menggerakan Satupun Anggota Gerak,0
2,Sanggup Gerak 2 Anggota Tubuh,1
3,Sanggup Gerak 4 Anggota Tubuh,2
