id_metode,kode_racik,metode_racik
1,PYR,Puyer
2,KPS,Kapsul
3,SRP,Sirup
4,SLP,Salep
5,KRM,Krim
6,BDK,Bedak Tabur
7,SUP,Suppositoria
8,TTS,Tetes
9,LOT,Lotio
10,GEL,Gel
11,PST,Pasta
